"","ID","Instrument.Serial.Num","Reading..","Date","Time","Method.Name","User.Factor.Name","Test.Label","Collimation.Status","Latitude","Longitude","Units","Mg.Compound","Mg.Compound.Level","Mg.Compound.Error","Mg.Concentration","Mg.Error1s","Al.Compound","Al.Compound.Level","Al.Compound.Error","Al.Concentration","Al.Error1s","Si.Compound","Si.Compound.Level","Si.Compound.Error","Si.Concentration","Si.Error1s","P.Compound","P.Compound.Level","P.Compound.Error","P.Concentration","P.Error1s","S.Compound","S.Compound.Level","S.Compound.Error","S.Concentration","S.Error1s","K.Compound","K.Compound.Level","K.Compound.Error","K.Concentration","K.Error1s","Ca.Compound","Ca.Compound.Level","Ca.Compound.Error","Ca.Concentration","Ca.Error1s","Ti.Compound","Ti.Compound.Level","Ti.Compound.Error","Ti.Concentration","Ti.Error1s","V.Compound","V.Compound.Level","V.Compound.Error","V.Concentration","V.Error1s","Cr.Compound","Cr.Compound.Level","Cr.Compound.Error","Cr.Concentration","Cr.Error1s","Mn.Compound","Mn.Compound.Level","Mn.Compound.Error","Mn.Concentration","Mn.Error1s","Fe.Compound","Fe.Compound.Level","Fe.Compound.Error","Fe.Concentration","Fe.Error1s","Co.Compound","Co.Compound.Level","Co.Compound.Error","Co.Concentration","Co.Error1s","Ni.Compound","Ni.Compound.Level","Ni.Compound.Error","Ni.Concentration","Ni.Error1s","Cu.Compound","Cu.Compound.Level","Cu.Compound.Error","Cu.Concentration","Cu.Error1s","Zn.Compound","Zn.Compound.Level","Zn.Compound.Error","Zn.Concentration","Zn.Error1s","As.Compound","As.Compound.Level","As.Compound.Error","As.Concentration","As.Error1s","Se.Compound","Se.Compound.Level","Se.Compound.Error","Se.Concentration","Se.Error1s","Rb.Compound","Rb.Compound.Level","Rb.Compound.Error","Rb.Concentration","Rb.Error1s","Sr.Compound","Sr.Compound.Level","Sr.Compound.Error","Sr.Concentration","Sr.Error1s","Y.Compound","Y.Compound.Level","Y.Compound.Error","Y.Concentration","Y.Error1s","Zr.Compound","Zr.Compound.Level","Zr.Compound.Error","Zr.Concentration","Zr.Error1s","Nb.Compound","Nb.Compound.Level","Nb.Compound.Error","Nb.Concentration","Nb.Error1s","Mo.Compound","Mo.Compound.Level","Mo.Compound.Error","Mo.Concentration","Mo.Error1s","Ag.Compound","Ag.Compound.Level","Ag.Compound.Error","Ag.Concentration","Ag.Error1s","Cd.Compound","Cd.Compound.Level","Cd.Compound.Error","Cd.Concentration","Cd.Error1s","Sn.Compound","Sn.Compound.Level","Sn.Compound.Error","Sn.Concentration","Sn.Error1s","Sb.Compound","Sb.Compound.Level","Sb.Compound.Error","Sb.Concentration","Sb.Error1s","W.Compound","W.Compound.Level","W.Compound.Error","W.Concentration","W.Error1s","Au.Compound","Au.Compound.Level","Au.Compound.Error","Au.Concentration","Au.Error1s","Hg.Compound","Hg.Compound.Level","Hg.Compound.Error","Hg.Concentration","Hg.Error1s","Pb.Compound","Pb.Compound.Level","Pb.Compound.Error","Pb.Concentration","Pb.Error1s","Bi.Compound","Bi.Compound.Level","Bi.Compound.Error","Bi.Concentration","Bi.Error1s","Th.Compound","Th.Compound.Level","Th.Compound.Error","Th.Concentration","Th.Error1s","U.Compound","U.Compound.Level","U.Compound.Error","U.Concentration","U.Error1s","LE.Compound","LE.Compound.Level","LE.Compound.Error","LE.Concentration","LE.Error1s","Notes","Operator","Project.No","Sample.ID","Sample.Type"
"269",358,801203,99,"2018-09-07","1900-01-00","geoChem-Extra",NA,99,"No",NA,NA,"PPM",NA,NA,NA,0,3542,NA,NA,NA,79193,652,"",NA,NA,334733,829,NA,NA,NA,0,80,NA,NA,NA,0,58,NA,NA,NA,30946,97,NA,NA,NA,15889,60,"",NA,NA,3067,88,NA,NA,NA,145,11,NA,NA,NA,59,14,NA,NA,NA,443,15,NA,NA,NA,19184,77,NA,NA,NA,0,92,NA,NA,NA,0,17,NA,NA,NA,45,3,NA,NA,NA,64,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,124,1,NA,NA,NA,435,2,NA,NA,NA,9,1,NA,NA,NA,185,2,NA,NA,NA,12,1,NA,NA,NA,6,1,NA,NA,NA,0,251,NA,NA,NA,0,301,NA,NA,NA,0,516,NA,NA,NA,0,662,NA,NA,NA,0,86,NA,NA,NA,0,35,NA,NA,NA,0,47,NA,NA,NA,19,1,NA,NA,NA,0,139,NA,NA,NA,14,3,NA,NA,NA,5,1,NA,NA,NA,515423,1103,"Arrowstone","PMR","geol-astonesc","1","Geo"
"270",359,801203,100,"2018-09-07","1900-01-00","geoChem-Extra",NA,100,"No",NA,NA,"PPM",NA,NA,NA,0,3807,NA,NA,NA,62304,623,"",NA,NA,260843,769,NA,NA,NA,396,52,NA,NA,NA,1207,32,NA,NA,NA,23707,84,NA,NA,NA,22963,77,"",NA,NA,3391,88,NA,NA,NA,98,10,NA,NA,NA,42,13,NA,NA,NA,630,17,NA,NA,NA,27187,101,NA,NA,NA,0,106,NA,NA,NA,32,3,NA,NA,NA,146,4,NA,NA,NA,421,5,NA,NA,NA,79,6,NA,NA,NA,3,1,NA,NA,NA,116,1,NA,NA,NA,236,2,NA,NA,NA,40,1,NA,NA,NA,282,2,NA,NA,NA,20,1,NA,NA,NA,6,1,NA,NA,NA,0,229,NA,NA,NA,51,6,NA,NA,NA,0,465,NA,NA,NA,0,594,NA,NA,NA,0,121,NA,NA,NA,0,54,NA,NA,NA,10,2,NA,NA,NA,1463,8,NA,NA,NA,0,138,NA,NA,NA,10,3,NA,NA,NA,0,71,NA,NA,NA,594317,1111,"Arrowstone","PMR","geol-astonesc","1","Geo"
"271",360,801203,104,"2018-09-07","1900-01-00","geoChem-Extra",NA,104,"No",NA,NA,"PPM",NA,NA,NA,0,5427,NA,NA,NA,64189,733,"",NA,NA,286216,918,NA,NA,NA,0,118,NA,NA,NA,0,94,NA,NA,NA,24889,100,NA,NA,NA,17569,74,"",NA,NA,3021,100,NA,NA,NA,152,13,NA,NA,NA,0,50,NA,NA,NA,316,16,NA,NA,NA,17189,84,NA,NA,NA,0,98,NA,NA,NA,18,4,NA,NA,NA,80,4,NA,NA,NA,67,3,NA,NA,NA,0,12,NA,NA,NA,0,7,NA,NA,NA,89,1,NA,NA,NA,549,3,NA,NA,NA,7,1,NA,NA,NA,158,2,NA,NA,NA,8,1,NA,NA,NA,14,1,NA,NA,NA,0,293,NA,NA,NA,0,353,NA,NA,NA,0,603,NA,NA,NA,0,774,NA,NA,NA,0,100,NA,NA,NA,0,41,NA,NA,NA,0,52,NA,NA,NA,15,1,NA,NA,NA,0,163,NA,NA,NA,27,3,NA,NA,NA,0,91,NA,NA,NA,585426,1252,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"272",361,801203,105,"2018-09-07","1900-01-00","geoChem-Extra",NA,105,"No",NA,NA,"PPM",NA,NA,NA,0,4478,NA,NA,NA,71744,701,"",NA,NA,313865,895,NA,NA,NA,0,104,NA,NA,NA,0,74,NA,NA,NA,24967,93,NA,NA,NA,17044,68,"",NA,NA,2912,94,NA,NA,NA,151,12,NA,NA,NA,0,46,NA,NA,NA,308,15,NA,NA,NA,16299,76,NA,NA,NA,0,92,NA,NA,NA,12,3,NA,NA,NA,78,4,NA,NA,NA,57,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,84,1,NA,NA,NA,531,3,NA,NA,NA,7,1,NA,NA,NA,150,2,NA,NA,NA,5,1,NA,NA,NA,7,1,NA,NA,NA,0,276,NA,NA,NA,0,333,NA,NA,NA,0,568,NA,NA,NA,0,731,NA,NA,NA,0,94,NA,NA,NA,0,39,NA,NA,NA,0,51,NA,NA,NA,17,1,NA,NA,NA,0,152,NA,NA,NA,18,3,NA,NA,NA,0,86,NA,NA,NA,551745,1193,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"273",362,801203,106,"2018-09-07","1900-01-00","geoChem-Extra",NA,106,"No",NA,NA,"PPM",NA,NA,NA,0,4473,NA,NA,NA,71787,694,"",NA,NA,305995,875,NA,NA,NA,0,100,NA,NA,NA,227,35,NA,NA,NA,24918,92,NA,NA,NA,17415,68,"",NA,NA,3015,94,NA,NA,NA,146,12,NA,NA,NA,48,15,NA,NA,NA,288,14,NA,NA,NA,16497,76,NA,NA,NA,0,91,NA,NA,NA,11,3,NA,NA,NA,81,3,NA,NA,NA,65,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,86,1,NA,NA,NA,530,3,NA,NA,NA,6,1,NA,NA,NA,154,2,NA,NA,NA,6,1,NA,NA,NA,6,1,NA,NA,NA,0,272,NA,NA,NA,0,327,NA,NA,NA,0,561,NA,NA,NA,0,717,NA,NA,NA,0,94,NA,NA,NA,0,40,NA,NA,NA,0,50,NA,NA,NA,16,1,NA,NA,NA,0,150,NA,NA,NA,13,3,NA,NA,NA,0,86,NA,NA,NA,558692,1178,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"274",363,801203,91,"2018-09-07","1900-01-00","geoChem-Extra",NA,91,"No",NA,NA,"PPM",NA,NA,NA,0,5570,NA,NA,NA,69023,749,"",NA,NA,250740,844,NA,NA,NA,1189,67,NA,NA,NA,2831,46,NA,NA,NA,24292,98,NA,NA,NA,18651,75,"",NA,NA,3992,105,NA,NA,NA,138,12,NA,NA,NA,0,47,NA,NA,NA,334,15,NA,NA,NA,23097,102,NA,NA,NA,0,112,NA,NA,NA,14,4,NA,NA,NA,83,4,NA,NA,NA,68,3,NA,NA,NA,0,12,NA,NA,NA,0,6,NA,NA,NA,79,1,NA,NA,NA,622,3,NA,NA,NA,9,1,NA,NA,NA,156,2,NA,NA,NA,7,1,NA,NA,NA,14,1,NA,NA,NA,0,280,NA,NA,NA,0,337,NA,NA,NA,0,576,NA,NA,NA,0,737,NA,NA,NA,0,96,NA,NA,NA,0,42,NA,NA,NA,0,51,NA,NA,NA,15,1,NA,NA,NA,0,155,NA,NA,NA,16,3,NA,NA,NA,0,89,NA,NA,NA,604632,1237,"Hat Creek","PMR","uphatcreek-1","1","Geo"
"275",364,801203,92,"2018-09-07","1900-01-00","geoChem-Extra",NA,92,"No",NA,NA,"PPM",NA,NA,NA,0,4051,NA,NA,NA,83029,701,"",NA,NA,313417,846,NA,NA,NA,0,94,NA,NA,NA,512,34,NA,NA,NA,28170,96,NA,NA,NA,19154,70,"",NA,NA,4343,103,NA,NA,NA,148,12,NA,NA,NA,0,44,NA,NA,NA,300,14,NA,NA,NA,19508,82,NA,NA,NA,0,97,NA,NA,NA,0,18,NA,NA,NA,82,3,NA,NA,NA,66,2,NA,NA,NA,3,1,NA,NA,NA,0,5,NA,NA,NA,80,1,NA,NA,NA,622,3,NA,NA,NA,7,1,NA,NA,NA,155,2,NA,NA,NA,6,1,NA,NA,NA,5,1,NA,NA,NA,0,263,NA,NA,NA,0,315,NA,NA,NA,0,540,NA,NA,NA,0,693,NA,NA,NA,0,93,NA,NA,NA,0,39,NA,NA,NA,0,48,NA,NA,NA,14,1,NA,NA,NA,0,146,NA,NA,NA,13,3,NA,NA,NA,0,86,NA,NA,NA,530365,1162,"Hat Creek","PMR","uphatcreek-1","1","Geo"
"276",365,801203,93,"2018-09-07","1900-01-00","geoChem-Extra",NA,93,"No",NA,NA,"PPM",NA,NA,NA,0,3900,NA,NA,NA,84087,689,"",NA,NA,313263,828,NA,NA,NA,0,90,NA,NA,NA,647,34,NA,NA,NA,28375,94,NA,NA,NA,19196,68,"",NA,NA,4429,102,NA,NA,NA,158,12,NA,NA,NA,0,44,NA,NA,NA,276,14,NA,NA,NA,20334,82,NA,NA,NA,0,98,NA,NA,NA,15,3,NA,NA,NA,90,3,NA,NA,NA,62,2,NA,NA,NA,4,1,NA,NA,NA,0,6,NA,NA,NA,81,1,NA,NA,NA,635,3,NA,NA,NA,7,1,NA,NA,NA,160,2,NA,NA,NA,5,1,NA,NA,NA,0,43,NA,NA,NA,0,255,NA,NA,NA,0,307,NA,NA,NA,0,526,NA,NA,NA,0,673,NA,NA,NA,0,88,NA,NA,NA,0,36,NA,NA,NA,0,47,NA,NA,NA,12,1,NA,NA,NA,0,143,NA,NA,NA,15,3,NA,NA,NA,0,82,NA,NA,NA,528150,1141,"Hat Creek","PMR","uphatcreek-1","1","Geo"
"277",366,801203,94,"2018-09-07","1900-01-00","geoChem-Extra",NA,94,"No",NA,NA,"PPM",NA,NA,NA,0,3783,NA,NA,NA,81547,664,"",NA,NA,315847,816,NA,NA,NA,0,85,NA,NA,NA,227,31,NA,NA,NA,26156,87,NA,NA,NA,19727,68,"",NA,NA,3846,95,NA,NA,NA,137,11,NA,NA,NA,0,42,NA,NA,NA,377,14,NA,NA,NA,22762,87,NA,NA,NA,0,100,NA,NA,NA,16,3,NA,NA,NA,91,3,NA,NA,NA,72,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,82,1,NA,NA,NA,644,3,NA,NA,NA,6,1,NA,NA,NA,163,2,NA,NA,NA,7,1,NA,NA,NA,0,42,NA,NA,NA,0,248,NA,NA,NA,0,297,NA,NA,NA,0,509,NA,NA,NA,0,653,NA,NA,NA,0,88,NA,NA,NA,0,36,NA,NA,NA,0,47,NA,NA,NA,17,1,NA,NA,NA,0,138,NA,NA,NA,0,152,NA,NA,NA,0,80,NA,NA,NA,528275,1118,"Hat Creek","PMR","uphatcreek-2","1","Geo"
"278",367,801203,95,"2018-09-07","1900-01-00","geoChem-Extra",NA,95,"No",NA,NA,"PPM",NA,NA,NA,0,3572,NA,NA,NA,88723,679,"",NA,NA,335526,835,NA,NA,NA,0,83,NA,NA,NA,411,32,NA,NA,NA,27069,89,NA,NA,NA,19910,69,"",NA,NA,3705,95,NA,NA,NA,156,11,NA,NA,NA,0,43,NA,NA,NA,380,15,NA,NA,NA,21441,84,NA,NA,NA,0,99,NA,NA,NA,20,3,NA,NA,NA,81,3,NA,NA,NA,69,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,81,1,NA,NA,NA,629,3,NA,NA,NA,6,1,NA,NA,NA,160,2,NA,NA,NA,7,1,NA,NA,NA,0,42,NA,NA,NA,0,253,NA,NA,NA,0,305,NA,NA,NA,0,521,NA,NA,NA,0,669,NA,NA,NA,0,90,NA,NA,NA,0,37,NA,NA,NA,0,48,NA,NA,NA,14,1,NA,NA,NA,0,139,NA,NA,NA,0,153,NA,NA,NA,0,82,NA,NA,NA,501613,1127,"Hat Creek","PMR","uphatcreek-2","1","Geo"
"279",368,801203,96,"2018-09-07","1900-01-00","geoChem-Extra",NA,96,"No",NA,NA,"PPM",NA,NA,NA,0,3897,NA,NA,NA,79921,675,"",NA,NA,311218,827,NA,NA,NA,0,88,NA,NA,NA,436,32,NA,NA,NA,27338,92,NA,NA,NA,19925,70,"",NA,NA,3913,97,NA,NA,NA,153,11,NA,NA,NA,0,44,NA,NA,NA,383,15,NA,NA,NA,23431,90,NA,NA,NA,0,104,NA,NA,NA,18,3,NA,NA,NA,87,3,NA,NA,NA,75,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,84,1,NA,NA,NA,658,3,NA,NA,NA,7,1,NA,NA,NA,163,2,NA,NA,NA,8,1,NA,NA,NA,7,1,NA,NA,NA,0,253,NA,NA,NA,0,306,NA,NA,NA,0,522,NA,NA,NA,0,669,NA,NA,NA,0,89,NA,NA,NA,0,37,NA,NA,NA,0,47,NA,NA,NA,14,1,NA,NA,NA,0,141,NA,NA,NA,10,3,NA,NA,NA,0,82,NA,NA,NA,532152,1141,"Hat Creek","PMR","uphatcreek-2","1","Geo"
"282",NA,801054,9,"2018-11-24","21:09:38","Geochem(2)",NA,9,"No",NA,NA,"PPM",NA,NA,NA,0,4739,NA,NA,NA,87480,899,"",NA,NA,313433,1033,NA,NA,NA,1093,78,NA,NA,NA,647,42,NA,NA,NA,18885,89,NA,NA,NA,25648,101,"",NA,NA,5152,123,NA,NA,NA,165,14,NA,NA,NA,76,17,NA,NA,NA,304,17,NA,NA,NA,30843,131,NA,NA,NA,0,130,NA,NA,NA,58,5,NA,NA,NA,76,4,NA,NA,NA,103,3,NA,NA,NA,32,3,NA,NA,NA,0,6,NA,NA,NA,44,1,NA,NA,NA,869,4,NA,NA,NA,9,1,NA,NA,NA,162,2,NA,NA,NA,5,1,NA,NA,NA,0,52,NA,NA,NA,0,306,NA,NA,NA,0,371,NA,NA,NA,0,613,NA,NA,NA,0,831,NA,NA,NA,0,108,NA,NA,NA,0,45,NA,NA,NA,0,56,NA,NA,NA,149,3,NA,NA,NA,0,143,NA,NA,NA,13,4,NA,NA,NA,0,101,NA,NA,NA,514605,1438,"Princeton river","NHW","Princeton river","1","Geo"
"283",NA,801054,10,"2018-11-24","21:12:47","Geochem(2)",NA,10,"No",NA,NA,"PPM",NA,NA,NA,0,5703,NA,NA,NA,76006,912,"",NA,NA,282355,1036,NA,NA,NA,1277,81,NA,NA,NA,0,92,NA,NA,NA,18731,93,NA,NA,NA,27352,112,"",NA,NA,5051,126,NA,NA,NA,183,14,NA,NA,NA,64,17,NA,NA,NA,841,24,NA,NA,NA,26291,124,NA,NA,NA,0,124,NA,NA,NA,62,5,NA,NA,NA,71,4,NA,NA,NA,85,3,NA,NA,NA,0,13,NA,NA,NA,0,7,NA,NA,NA,46,1,NA,NA,NA,876,5,NA,NA,NA,8,1,NA,NA,NA,161,2,NA,NA,NA,6,1,NA,NA,NA,0,55,NA,NA,NA,0,321,NA,NA,NA,0,390,NA,NA,NA,0,644,NA,NA,NA,0,875,NA,NA,NA,0,105,NA,NA,NA,0,42,NA,NA,NA,7,2,NA,NA,NA,16,2,NA,NA,NA,0,149,NA,NA,NA,13,4,NA,NA,NA,0,104,NA,NA,NA,560334,1474,"Princeton river","NHW","Princeton river","1","Geo"
"284",NA,801054,11,"2018-11-24","21:17:27","Geochem(2)",NA,11,"No",NA,NA,"PPM",NA,NA,NA,0,5082,NA,NA,NA,84016,898,"",NA,NA,309927,1049,NA,NA,NA,1125,79,NA,NA,NA,490,42,NA,NA,NA,18527,90,NA,NA,NA,25273,102,"",NA,NA,4983,123,NA,NA,NA,166,14,NA,NA,NA,74,17,NA,NA,NA,314,17,NA,NA,NA,33067,141,NA,NA,NA,0,136,NA,NA,NA,69,5,NA,NA,NA,78,4,NA,NA,NA,105,4,NA,NA,NA,35,3,NA,NA,NA,0,7,NA,NA,NA,42,1,NA,NA,NA,851,4,NA,NA,NA,11,1,NA,NA,NA,159,2,NA,NA,NA,7,1,NA,NA,NA,0,52,NA,NA,NA,0,309,NA,NA,NA,0,376,NA,NA,NA,0,623,NA,NA,NA,0,842,NA,NA,NA,0,112,NA,NA,NA,0,46,NA,NA,NA,0,58,NA,NA,NA,198,4,NA,NA,NA,0,144,NA,NA,NA,0,193,NA,NA,NA,0,100,NA,NA,NA,520324,1466,"Princeton river","NHW","Princeton river","1","Geo"
"285",NA,801054,12,"2018-11-24","21:20:39","Geochem(2)",NA,12,"No",NA,NA,"PPM",NA,NA,NA,0,4524,NA,NA,NA,68210,844,"",NA,NA,361242,1100,NA,NA,NA,0,93,NA,NA,NA,0,73,NA,NA,NA,31541,124,NA,NA,NA,6396,57,"",NA,NA,1773,91,NA,NA,NA,120,12,NA,NA,NA,0,47,NA,NA,NA,384,17,NA,NA,NA,11057,67,NA,NA,NA,0,78,NA,NA,NA,24,4,NA,NA,NA,12,3,NA,NA,NA,37,2,NA,NA,NA,0,13,NA,NA,NA,0,7,NA,NA,NA,88,1,NA,NA,NA,106,1,NA,NA,NA,25,1,NA,NA,NA,138,2,NA,NA,NA,11,1,NA,NA,NA,0,55,NA,NA,NA,0,329,NA,NA,NA,0,398,NA,NA,NA,0,656,NA,NA,NA,0,889,NA,NA,NA,0,104,NA,NA,NA,0,43,NA,NA,NA,0,58,NA,NA,NA,21,2,NA,NA,NA,0,139,NA,NA,NA,11,4,NA,NA,NA,0,86,NA,NA,NA,518659,1367,"Glass Butte","NHW","Glass Butte","1","Geo"
"286",NA,801054,13,"2018-11-24","21:22:01","Geochem(2)",NA,13,"No",NA,NA,"PPM",NA,NA,NA,0,4876,NA,NA,NA,68185,866,"",NA,NA,352214,1117,NA,NA,NA,0,102,NA,NA,NA,0,79,NA,NA,NA,31214,127,NA,NA,NA,6526,58,"",NA,NA,1902,94,NA,NA,NA,99,12,NA,NA,NA,0,47,NA,NA,NA,417,18,NA,NA,NA,10918,68,NA,NA,NA,0,79,NA,NA,NA,36,5,NA,NA,NA,0,18,NA,NA,NA,31,2,NA,NA,NA,0,13,NA,NA,NA,0,7,NA,NA,NA,84,1,NA,NA,NA,108,1,NA,NA,NA,26,1,NA,NA,NA,140,2,NA,NA,NA,13,1,NA,NA,NA,7,2,NA,NA,NA,0,337,NA,NA,NA,0,409,NA,NA,NA,0,673,NA,NA,NA,0,910,NA,NA,NA,0,109,NA,NA,NA,0,44,NA,NA,NA,0,59,NA,NA,NA,19,2,NA,NA,NA,0,144,NA,NA,NA,15,4,NA,NA,NA,0,90,NA,NA,NA,527891,1400,"Glass Butte","NHW","Glass Butte","1","Geo"
"287",NA,801054,14,"2018-11-24","21:23:34","Geochem(2)",NA,14,"No",NA,NA,"PPM",NA,NA,NA,0,4010,NA,NA,NA,73310,819,"",NA,NA,380507,1073,NA,NA,NA,0,84,NA,NA,NA,0,65,NA,NA,NA,31883,119,NA,NA,NA,6169,56,"",NA,NA,1775,88,NA,NA,NA,129,12,NA,NA,NA,64,16,NA,NA,NA,406,17,NA,NA,NA,10821,64,NA,NA,NA,0,75,NA,NA,NA,15,4,NA,NA,NA,0,17,NA,NA,NA,36,2,NA,NA,NA,0,12,NA,NA,NA,0,6,NA,NA,NA,83,1,NA,NA,NA,107,1,NA,NA,NA,27,1,NA,NA,NA,140,2,NA,NA,NA,9,1,NA,NA,NA,0,54,NA,NA,NA,0,320,NA,NA,NA,0,387,NA,NA,NA,0,636,NA,NA,NA,0,865,NA,NA,NA,0,98,NA,NA,NA,0,41,NA,NA,NA,8,2,NA,NA,NA,18,2,NA,NA,NA,0,134,NA,NA,NA,0,180,NA,NA,NA,0,84,NA,NA,NA,494359,1318,"Glass Butte","NHW","Glass Butte","1","Geo"
"288",NA,801054,15,"2018-11-24","21:25:51","Geochem(2)",NA,15,"No",NA,NA,"PPM",NA,NA,NA,0,4307,NA,NA,NA,94383,862,"",NA,NA,342598,1025,NA,NA,NA,0,101,NA,NA,NA,0,67,NA,NA,NA,12909,71,NA,NA,NA,31386,111,"",NA,NA,3287,104,NA,NA,NA,102,12,NA,NA,NA,0,50,NA,NA,NA,584,20,NA,NA,NA,27991,117,NA,NA,NA,0,121,NA,NA,NA,62,5,NA,NA,NA,29,3,NA,NA,NA,62,3,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,25,1,NA,NA,NA,750,4,NA,NA,NA,15,1,NA,NA,NA,131,2,NA,NA,NA,6,1,NA,NA,NA,0,51,NA,NA,NA,0,304,NA,NA,NA,0,370,NA,NA,NA,0,610,NA,NA,NA,0,826,NA,NA,NA,0,103,NA,NA,NA,0,42,NA,NA,NA,0,57,NA,NA,NA,8,1,NA,NA,NA,0,137,NA,NA,NA,0,188,NA,NA,NA,0,94,NA,NA,NA,485542,1378,"Watts","NHW","geol-watts","1","Geo"
"289",NA,801054,16,"2018-11-24","21:27:34","Geochem(2)",NA,16,"No",NA,NA,"PPM",NA,NA,NA,0,8053,NA,NA,NA,70110,1039,"",NA,NA,269362,1204,NA,NA,NA,0,178,NA,NA,NA,0,129,NA,NA,NA,12155,88,NA,NA,NA,30698,145,"",NA,NA,2870,122,NA,NA,NA,110,15,NA,NA,NA,0,60,NA,NA,NA,557,24,NA,NA,NA,25919,146,NA,NA,NA,0,144,NA,NA,NA,73,6,NA,NA,NA,27,4,NA,NA,NA,59,3,NA,NA,NA,0,13,NA,NA,NA,0,8,NA,NA,NA,23,1,NA,NA,NA,744,5,NA,NA,NA,15,1,NA,NA,NA,134,2,NA,NA,NA,11,2,NA,NA,NA,15,2,NA,NA,NA,0,386,NA,NA,NA,0,470,NA,NA,NA,0,773,NA,NA,NA,0,1049,NA,NA,NA,0,131,NA,NA,NA,0,53,NA,NA,NA,0,71,NA,NA,NA,8,2,NA,NA,NA,0,175,NA,NA,NA,23,5,NA,NA,NA,0,119,NA,NA,NA,586852,1713,"Watts","NHW","geol-watts","1","Geo"
"290",NA,801054,17,"2018-11-24","21:30:43","Geochem(2)",NA,17,"No",NA,NA,"PPM",NA,NA,NA,0,3995,NA,NA,NA,99054,839,"",NA,NA,360836,1008,NA,NA,NA,0,93,NA,NA,NA,0,62,NA,NA,NA,12351,68,NA,NA,NA,32090,108,"",NA,NA,3120,101,NA,NA,NA,87,11,NA,NA,NA,67,15,NA,NA,NA,624,20,NA,NA,NA,27658,112,NA,NA,NA,0,119,NA,NA,NA,61,5,NA,NA,NA,27,3,NA,NA,NA,59,3,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,26,1,NA,NA,NA,731,4,NA,NA,NA,13,1,NA,NA,NA,127,2,NA,NA,NA,0,34,NA,NA,NA,0,50,NA,NA,NA,0,299,NA,NA,NA,0,362,NA,NA,NA,0,594,NA,NA,NA,0,807,NA,NA,NA,0,99,NA,NA,NA,0,39,NA,NA,NA,0,54,NA,NA,NA,9,1,NA,NA,NA,0,133,NA,NA,NA,0,181,NA,NA,NA,0,91,NA,NA,NA,462939,1333,"Watts","NHW","geol-watts","1","Geo"
"291",NA,801054,18,"2018-11-24","21:34:27","Geochem(2)",NA,18,"No",NA,NA,"PPM",NA,NA,NA,0,5801,NA,NA,NA,82319,948,"",NA,NA,311048,1132,NA,NA,NA,0,132,NA,NA,NA,0,92,NA,NA,NA,12810,80,NA,NA,NA,30149,124,"",NA,NA,3052,113,NA,NA,NA,110,13,NA,NA,NA,0,56,NA,NA,NA,532,21,NA,NA,NA,25386,126,NA,NA,NA,0,130,NA,NA,NA,54,5,NA,NA,NA,33,4,NA,NA,NA,59,3,NA,NA,NA,0,12,NA,NA,NA,0,7,NA,NA,NA,25,1,NA,NA,NA,732,4,NA,NA,NA,14,1,NA,NA,NA,131,2,NA,NA,NA,9,1,NA,NA,NA,0,58,NA,NA,NA,0,346,NA,NA,NA,0,421,NA,NA,NA,0,694,NA,NA,NA,0,940,NA,NA,NA,0,113,NA,NA,NA,0,45,NA,NA,NA,0,61,NA,NA,NA,11,2,NA,NA,NA,0,157,NA,NA,NA,16,4,NA,NA,NA,0,106,NA,NA,NA,533337,1552,"Watts","NHW","geol-watts","2","Geo"
"292",NA,801054,19,"2018-11-24","22:32:42","Geochem(2)",NA,19,"No",NA,NA,"PPM",NA,NA,NA,0,5898,NA,NA,NA,80668,935,"",NA,NA,306494,1121,NA,NA,NA,0,130,NA,NA,NA,0,92,NA,NA,NA,13039,81,NA,NA,NA,30455,125,"",NA,NA,3241,115,NA,NA,NA,74,13,NA,NA,NA,62,17,NA,NA,NA,544,21,NA,NA,NA,26264,129,NA,NA,NA,0,130,NA,NA,NA,52,5,NA,NA,NA,28,4,NA,NA,NA,63,3,NA,NA,NA,0,12,NA,NA,NA,0,7,NA,NA,NA,24,1,NA,NA,NA,732,4,NA,NA,NA,15,1,NA,NA,NA,132,2,NA,NA,NA,9,1,NA,NA,NA,0,58,NA,NA,NA,0,345,NA,NA,NA,0,420,NA,NA,NA,0,693,NA,NA,NA,0,937,NA,NA,NA,0,110,NA,NA,NA,0,44,NA,NA,NA,0,61,NA,NA,NA,8,2,NA,NA,NA,0,156,NA,NA,NA,0,212,NA,NA,NA,0,108,NA,NA,NA,537915,1546,"Watts","NHW","geol-watts","2","Geo"
